\!	-\thinmuskip
\"	Accent(ö)
\#	Char(#)
\$	Char($)
\%	Char(%)
\&	Char(&)
\'	Accent(ó)
\*	MChar(*)
\+	Align
\,	\thinmuskip
\.	Accent(ė)
\;	\thickmuskip
\=	Accent(ō)
\>	\medmuskip
\AA	Char(Å)
\AE	Char(Æ)
\Arrowvert	Delimiter
\Big	Delimiter
\Bigg	Delimiter
\Biggl	Delimiter
\Biggm	Delimiter
\Biggr	Delimiter
\Bigl	Delimiter
\Bigm	Delimiter
\Bigr	Delimiter
\Delta	MChar
\Downarrow	Delimiter
\Gamma	MChar
\H	Accent(ő)
\Im	MChar
\L	Char(Ł)
\Lambda	MChar
\Leftarrow	MChar(<=)
\Leftrightarrow	MChar(<=>)
\Longleftarrow	MChar(<-)
\Longleftrightarrow	MChar(<=>)
\Longrightarrow	MChar(=>)
\O	Char(Ø)
\OE	Char(Œ)
\Omega	MChar
\Orb	Char(〇)
\P	Char(¶)
\Phi	MChar
\Pi	MChar
\Pr	MathOp
\Psi	MChar
\Re	MChar
\Relbar	MChar
\Rightarrow	MChar(=>)
\S	Char(§)
\Sigma	MChar
\TeX	Char
\Theta	MChar
\Uparrow	Delimiter
\Updownarrow	Delimiter
\Upsilon	MChar
\Vert	Delimiter
\Xi	MChar
\^	Accent(ô)
\_	Char(_)
\`	Accent(ò)
\aa	Char(å)
\acute	Accent
\advancepageno	Debug
\ae	Char(æ)
\aleph	MChar(א)
\allocationnumber	Debug
\allowbreak	Typeset
\alpha	MChar
\amalg	MChar
\angle	MChar(∠)
\approx	MChar(≈)
\arccos	MathOp
\arcsin	MathOp
\arctan	MathOp
\arg	MathOp
\arrowvert	Delimiter
\ast	MChar(*)
\asymp	MChar
\b	Accent
\backslash	Delimiter
\bar	Accent
\beginsection{section title}\par	Insertion
\beta	MChar
\bf	Font
\bffam	Font
\bgroup	{
\big	Delimiter
\bigbreak	Glue
\bigcap	MChar
\bigcirc	MChar
\bigcup	MChar
\bigg	Delimiter
\biggl	Delimiter
\biggm	Delimiter
\biggr	Delimiter
\bigl	Delimiter
\bigm	Delimiter
\bigodot	MChar
\bigoplus	MChar
\bigotimes	MChar
\bigr	Delimiter
\bigskip	Glue
\bigskipamount	Glue
\bigsqcup	MChar
\bigtriangledown	MChar
\bigtriangleup	MChar
\biguplus	MChar
\bigvee	MChar
\bigwedge	MChar
\bmod	Math
\bordermatrix	Math
\bot	MChar(⊥)
\bowtie	MChar
\brace	Math
\braceld	MChar
\bracelu	MChar
\bracerd	MChar
\braceru	MChar
\bracevert	Delimiter
\brack	Math
\break	Typeset
\breve	Accent
\bullet	MChar(・)
\bye	Job
\c	Accent(ç)
\cal	MFont
\cap	MChar(∩)
\cases	Math
\cdot	MChar
\cdotp	MChar
\cdots	MChar
\centering	Glue
\centerline{stuff}	Insertion
\check	Accent
\chi	MChar
\choose	Math
\circ	MChar
\cleartabs	Align
\clubsuit	MChar(♠)
\colon	MChar(:)
\cong	MathRel(≌)
\coprod	MChar
\copyright	Char(©)
\cos	MathOp
\cosh	MathOp
\cot	MathOp
\coth	MathOp
\csc	MathOp
\cup	MChar(∪)
\d	Accent
\dag	Char(†)
\dagger	MChar(‡)
\dashv	MChar(┤)
\ddag	Char(‡)
\ddagger	MChar(†)
\ddot	Accent
\ddots	MChar
\deg	MathOp
\delta	MChar
\det	MathOp
\diamond	MChar(◇)
\diamondsuit	MChar(♢)
\dim	MathOp
\displaylines	Math
\div	MChar
\dosupereject	Debug
\dot	Accent
\doteq	MathRel
\dotfill	Insertion
\dots	Char(...)
\downarrow	Delimiter
\downbracefill	Insertion
\egroup	}
\eject	Typeset
\ell	MChar
\empty	{}
\emptyset	MChar
\endgraf	\par
\endinsert	\*insert
\endline	\cr
\enskip	Kern
\enspace	Kern
\epsilon	MChar
\eqalign	Math
\eqalignno	Math
\equiv	MChar(≡)
\eta	MChar
\exists	MChar
\exp	MathOp
\filbreak	Typeset
\flat	MChar(♭)
\fmtname	Debug(plain)
\fmtversion	Debug(3.1415..)
\folio	Debug
\footins	Insert
\footline={stuff}	Insertion
\footnoterule	Debug
\footnote{mark}{text}	Insertion
\footstrut	Debug
\forall	MChar(∀)
\frenchspacing	Typeset
\frown	MChar
\gamma	MChar
\gcd	MathOp
\ge	MChar(≥)
\geq	MChar(≥)
\gets	MChar(<-)
\gg	MChar(>>)
\goodbreak	Typeset
\grave	Accent
\hang	Typeset
\hat	Accent
\hbar	MChar
